"","c7","c8","c11","c12","c14","c17","c18","c1","c2","c5","c6","c9","c10","c15","c13","c16"
"MGC16025",0,7,7,4,0,10,2,17,19,0,0,5,2,5,2,4
"MIR4269",1,0,1,1,0,2,5,0,0,0,2,1,2,1,7,0
"MIR2467",0,1,0,0,0,0,1,0,0,0,0,0,1,0,3,0
"LOC101928111",14,11,29,22,5,18,26,4,0,6,10,42,32,42,9,134
"LOC150935",0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0
"NDUFA10",1657,1502,4185,3159,571,6146,6758,5301,5874,973,1345,2858,4037,2858,2177,14237
"MIR4786",0,0,0,0,0,0,0,5,0,0,2,2,2,2,0,0
"OR6B2",0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0
"OR6B3",0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
"COPS9",931,825,1554,1663,439,1613,2458,1001,1645,617,534,674,2012,674,734,6497
"OTOS",0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0
"GPC1",4553,4468,14957,8077,953,27872,16350,5650,4242,3369,3765,7734,13158,7734,8365,90864
"PP14571",12,28,13,57,4,7,70,21,24,7,67,25,148,25,61,409
"MIR149",0,3,1,2,0,0,4,2,4,2,1,1,11,1,4,17
"ANKMY1",77,38,229,112,10,194,188,244,62,25,81,137,200,137,67,516
"DUSP28",47,52,80,103,10,88,123,34,55,40,39,57,107,57,24,251
"RNPEPL1",387,348,1132,707,121,2097,1561,1103,609,284,288,518,849,518,781,5999
"CAPN10-AS1",77,48,78,59,0,72,119,37,33,36,88,125,164,125,28,52
"CAPN10",398,310,860,589,64,1074,892,639,776,198,268,571,802,571,362,5485
"GPR35",1,12,5,15,3,6,11,53,52,4,12,15,30,15,4,179
"AQP12B",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"AQP12A",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
"KIF1A",0,0,2,2,0,0,0,47,43,0,0,0,13,0,0,0
"AGXT",10,0,8,4,0,0,0,6,7,3,0,3,9,3,0,0
"C2orf54",0,0,0,0,0,0,0,15,16,0,0,0,2,0,2,0
"LOC200772",0,0,2,4,0,0,0,14,17,0,0,8,1,8,0,0
"SNED1",1179,1087,4559,1755,73,2013,3046,2463,681,524,1318,2521,2702,2521,651,9121
"MTERF4",559,388,1336,859,91,1076,1395,1005,1219,313,461,905,1307,905,520,1856
"PASK",27,22,83,45,10,80,76,102,180,16,18,49,70,49,35,129
"PPP1R7",737,504,1936,1218,368,1691,2402,2442,2682,392,426,1003,1726,1003,1029,2738
"ANO7",4,15,20,22,3,20,27,67,117,12,22,37,70,37,20,49
"HDLBP",31324,26437,87031,50396,6144,104961,93896,130026,84184,19731,24243,49624,75505,49624,39731,140846
"SEPT2",13805,11814,35219,23437,3609,47276,46509,22408,26814,9586,10549,20629,33073,20629,18409,42971
"FARP2",320,332,989,624,80,1370,1311,1001,763,193,337,716,1021,716,518,1846
"MIR3133",0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,13
"STK25",1976,1634,4917,3120,321,7711,5793,5530,4406,1276,1433,2676,4274,2676,2289,17193
"BOK-AS1",2,6,5,13,0,17,13,0,2,3,1,7,15,7,1,104
"BOK",468,511,1359,953,140,3421,1710,1124,706,300,337,693,1367,693,933,6941
"THAP4",906,765,2220,1413,166,3048,2975,4246,2753,523,615,1112,1908,1112,988,11340
"ATG4B",643,593,1915,1317,142,2104,2247,2185,2451,470,595,1078,1926,1078,765,5873
"DTYMK",407,345,924,743,131,1493,1386,1038,1196,268,287,488,931,488,510,4749
"ING5",644,577,1522,1139,151,1458,1646,1411,1884,383,713,1311,1950,1311,744,3841
"D2HGDH",544,556,1349,1005,83,1168,1339,749,986,288,510,1005,1351,1005,385,5554
"GAL3ST2",0,0,0,0,0,0,4,5,2,0,0,0,4,0,1,0
"NEU4",0,0,0,0,0,0,0,5,14,0,0,0,1,0,0,0
"PDCD1",0,0,2,4,0,1,2,4,10,0,0,0,1,0,0,0
"RTP5",0,0,0,0,0,0,0,7,18,0,0,0,1,0,0,0
"LINC01237",2,3,15,22,5,16,18,9,4,2,1,27,20,27,6,131
"LOC285095",0,0,3,0,0,2,0,0,2,0,0,5,2,5,0,0
"LINC01238",6,11,10,12,0,6,9,2,10,2,9,13,16,13,2,2
"LINC01881",28,25,52,34,12,55,50,10,15,15,19,42,50,42,28,182
"LINC01986",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL1-AS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHL1",0,0,0,2,0,0,0,31,29,0,0,0,4,0,0,0
"CHL1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC01266",2,0,4,0,0,0,0,1,0,0,0,0,2,0,4,0
"CNTN6",0,0,0,0,0,0,0,13,17,0,0,0,0,0,0,8
"CNTN4",0,0,0,0,0,0,1,31,28,0,0,0,2,0,0,0
"CNTN4-AS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CNTN4-AS1",0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
"IL5RA",0,0,0,0,0,0,0,30,39,0,0,0,5,0,0,0
"TRNT1",379,345,833,759,61,844,997,275,684,280,394,714,1007,714,445,1175
"CRBN",1355,1127,2644,2266,216,2590,4661,1638,2329,947,1026,1423,2808,1423,1147,3661
"LRRN1",0,1,2,0,0,2,2,10,18,0,0,2,4,2,6,0
"SETMAR",221,201,451,393,17,607,708,141,155,134,181,309,582,309,243,2088
"SUMF1",2624,2178,6780,4330,432,6823,8435,3578,4723,1709,1879,4010,6285,4010,2473,17924
"ITPR1-AS1",4,4,19,4,2,0,3,9,0,4,4,12,8,12,0,14
"ITPR1",129,82,371,245,24,389,203,344,376,76,135,244,342,244,176,342
"EGOT",0,4,6,12,0,3,19,5,10,0,4,4,18,4,7,6
"BHLHE40-AS1",6,17,22,69,10,33,99,7,28,2,9,10,72,10,16,83
"BHLHE40",328,4585,898,11691,967,1484,31891,1012,1328,192,2195,782,11862,782,8277,44439
"ARL8B",1702,1608,4515,3251,419,6154,7941,2218,3191,1221,1324,2571,4301,2571,2545,16059
"EDEM1",907,802,2473,1392,466,3824,3042,1476,1091,733,883,1653,2312,1653,2467,4363
"MIR4790",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GRM7-AS3",0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
"GRM7",0,0,0,0,0,0,0,18,28,0,0,0,1,0,0,0
"GRM7-AS2",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"GRM7-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC101927394",0,0,0,2,0,4,0,3,0,0,2,0,0,0,0,0
"LMCD1-AS1",23,13,27,38,0,39,46,36,33,12,10,21,29,21,10,120
"LMCD1",1510,1490,3789,2938,323,2995,5039,3615,4957,1108,1614,1940,4349,1940,1866,8821
"LINC00312",44,36,110,77,7,125,174,60,63,48,159,128,324,128,140,572
"SSUH2",4,0,2,9,0,6,3,6,11,0,2,0,5,0,0,0
"CAV3",0,0,0,2,0,0,3,7,6,0,10,11,16,11,10,18
"OXTR",6195,4299,14225,7371,2179,43809,16170,4691,4817,4402,4167,6898,12310,6898,19001,48850
"RAD18",574,435,1303,848,124,1658,1575,665,497,319,399,671,1220,671,810,1865
"SRGAP3",52,39,136,118,8,41,98,77,98,37,24,89,130,89,27,178
"SRGAP3-AS2",0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"SRGAP3-AS3",0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0
"THUMPD3",862,767,1985,1468,203,1747,2584,1267,1549,575,712,1237,2156,1237,1139,3380
"THUMPD3-AS1",257,294,530,487,87,331,708,126,401,162,529,441,1003,441,436,1259
"SETD5",2538,2337,6316,4330,612,7679,7910,5306,1302,1653,2609,4052,6759,4052,4084,9781
"LHFPL4",3,2,4,2,0,10,10,27,36,0,3,10,7,10,9,48
"MTMR14",466,505,1430,1222,135,2399,2417,1779,1772,260,406,875,1554,875,861,3582
"CPNE9",1,0,0,1,0,1,8,2,8,2,3,7,7,7,0,0
"BRPF1",459,537,1142,1103,80,1322,1706,1473,1395,240,625,699,1918,699,646,3588
"OGG1",376,348,833,654,82,1283,1117,910,985,200,298,631,1006,631,451,836
"CAMK1",282,241,727,540,41,1237,1123,773,882,212,217,462,774,462,333,2940
"TADA3",2025,1835,4768,3693,349,7630,5917,8966,6408,1379,1707,2566,4848,2566,2572,13154
"ARPC4",2096,1877,4248,4621,1010,8881,7256,5837,6767,1449,1807,2651,6929,2651,3573,4951
"ARPC4-TTLL3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TTLL3",165,147,324,376,13,166,322,188,216,77,181,324,490,324,68,1503
"RPUSD3",272,255,691,655,50,1218,964,1056,948,164,232,472,727,472,282,2406
"CIDEC",4,2,6,16,0,8,14,12,6,0,4,2,16,2,2,0
"JAGN1",499,442,1323,990,99,1547,1982,1254,1503,406,427,688,1425,688,638,2208
"IL17RE",45,43,141,94,19,232,269,130,102,44,36,104,138,104,78,586
"IL17RC",866,819,2724,1678,125,3422,3077,2386,2985,496,687,1610,2380,1610,792,9800
"CRELD1",1216,1075,3370,2296,171,2777,2625,2106,1896,842,989,2276,3237,2276,975,4554
"PRRT3",206,149,694,365,17,746,710,391,203,189,165,364,572,364,243,3575
"PRRT3-AS1",1,3,24,31,5,22,19,8,16,6,3,20,23,20,3,54
"EMC3",1314,1056,2808,2376,488,2958,3845,2178,2662,846,867,1629,2795,1629,1430,3785
"EMC3-AS1",20,16,61,43,6,57,57,22,19,12,25,60,64,60,25,47
"LOC401052",9,11,53,14,1,24,28,42,23,15,9,29,19,29,12,19
"CIDECP",145,150,378,346,41,470,413,371,249,111,150,208,390,208,200,79
"FANCD2",114,74,301,196,18,367,360,67,116,33,96,187,261,187,106,507
"FANCD2OS",0,0,0,1,0,0,0,12,9,0,1,0,0,0,0,0
"BRK1",2516,2169,5552,5797,1051,6358,9753,2983,3072,1675,1577,3964,7099,3964,3045,7215
"VHL",1014,1012,3499,2087,306,3823,3513,1626,1733,706,986,1927,3194,1927,1805,5388
"IRAK2",192,103,520,258,20,330,345,335,326,100,118,353,339,353,180,747
"TATDN2",829,823,1907,1477,246,2999,2367,1477,1007,485,645,1331,2030,1331,1400,3185
"GHRLOS",29,15,23,13,6,42,39,37,33,5,24,35,48,35,36,49
"LINC00852",10,6,12,25,6,36,36,16,5,10,22,41,46,41,23,74
"GHRL",5,6,3,3,3,15,19,6,40,3,10,21,20,21,11,70
"SEC13",2024,1639,6210,4785,606,6112,7330,8052,9857,1481,1557,3051,5880,3051,2940,5061
"ATP2B2",0,0,0,2,0,2,2,37,63,0,0,0,3,0,2,0
"MIR378B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIR885",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"ATP2B2-IT2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC00606",0,0,0,0,0,0,0,13,21,0,0,0,2,0,0,0
"SLC6A11",0,0,0,2,0,0,0,5,17,0,0,0,12,0,0,0
"SLC6A1",0,0,0,2,0,0,0,26,11,0,0,0,1,0,0,0
"SLC6A1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRH1",637,452,1478,738,38,907,1558,1627,1131,391,521,1151,1378,1151,296,1388
"ATG7",1029,858,2072,1622,272,3077,3447,2196,2497,669,694,1664,2432,1664,1145,3845
"VGLL4",733,976,2035,1565,130,1904,2815,1809,1620,447,752,1135,1882,1135,962,10172
"TAMM41",98,101,286,213,24,327,373,224,192,76,97,193,245,193,126,431
"SYN2",12,4,14,20,2,21,15,31,45,7,0,14,14,14,13,26
"TIMP4",87,39,179,148,20,207,247,98,77,50,59,86,121,86,81,342
"PPARG",410,390,976,781,40,862,1640,981,880,314,451,527,1213,527,466,3346
"TSEN2",259,180,528,419,65,577,603,363,476,162,246,361,642,361,273,937
"MKRN2OS",3,5,6,2,0,7,4,10,6,3,1,13,5,13,4,0
"MKRN2",1062,959,2973,1798,158,2756,3352,2264,2646,621,834,1464,2541,1464,1391,4519
"RAF1",2622,2355,6854,4424,477,9355,9902,7350,7619,1679,2272,3505,6689,3505,3926,13538
"TMEM40",0,2,4,4,0,4,0,16,24,0,0,0,6,0,2,4
"CAND2",336,215,823,523,40,930,720,582,478,170,272,405,728,405,355,1731
"RPL32",11249,8680,29179,28737,4612,47389,59704,9140,8107,6986,6121,11897,34033,11897,10848,12021
"SNORA7A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LINC02022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IQSEC1",1021,967,3362,1721,172,3371,3375,2436,730,638,858,1787,3006,1787,1480,15535
"NUP210",4,2,3,12,0,34,8,41,35,0,0,8,13,8,2,30
"HDAC11-AS1",6,6,2,7,6,6,10,1,6,1,4,14,21,14,0,85
"HDAC11",479,376,1233,768,65,1584,1434,1465,1594,285,239,816,1089,816,478,3642
"FBLN2",11983,11391,41567,22098,1604,50359,49276,56808,47827,8721,11270,28282,37483,28282,13309,150079
"SNORA93",15,6,10,10,40,12,14,217,691,14,8,9,13,9,28,0
"LINC00620",0,0,0,0,0,0,0,10,3,0,0,2,0,2,0,2
"WNT7A",0,0,0,0,0,0,0,6,7,0,0,0,6,0,0,0
"FGD5P1",0,0,0,0,0,0,0,16,14,0,0,0,2,0,0,0
"TPRXL",0,0,0,0,0,0,0,83,52,0,0,0,0,0,0,0
"CHCHD4",125,104,390,208,35,489,358,351,320,112,82,264,345,264,189,537
"TMEM43",4819,4014,12553,7404,1105,23738,16562,15828,11334,3472,3754,7682,12482,7682,8483,15285
"XPC",2876,2529,7989,5042,515,5765,6562,7331,8141,1616,2583,5414,8375,5414,3153,15973
"LSM3",779,653,1510,1445,362,1679,2476,601,930,530,499,921,1743,921,859,5281
"LINC01267",0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
"SLC6A6",1457,1269,3931,2472,332,4826,5936,3927,1440,873,1291,2850,3477,2850,2452,6536
"GRIP2",175,116,347,248,8,143,160,125,103,79,108,249,330,249,51,356
"CCDC174",478,422,1216,788,78,942,1148,1179,861,289,376,659,1195,659,447,1285
"C3orf20",0,0,5,2,2,6,13,38,30,5,5,7,12,7,18,21
"LINC02011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FGD5",6,5,5,5,0,6,13,39,43,2,0,5,3,5,3,4
"FGD5-AS1",3527,2964,8709,5058,526,8247,9387,2970,3253,2420,2732,4715,7414,4715,3505,10689
"NR2C2",1212,872,2958,1927,276,3825,3668,2310,1181,731,1121,2020,3002,2020,2336,3328
"MRPS25",396,346,908,807,187,948,1156,538,670,264,353,782,1208,782,545,1898
"RBSN",1197,993,2995,1768,263,3107,2946,2516,2466,744,1065,2136,2697,2136,1666,4758
"COL6A4P1",0,2,0,0,2,0,0,9,5,1,0,9,1,9,0,11
"CAPN7",903,849,2340,1783,252,2368,3200,1129,1564,573,1024,1681,2614,1681,1228,5127
"SH3BP5-AS1",81,73,146,93,7,112,283,99,54,39,118,128,248,128,63,188
"SH3BP5",169,153,505,475,61,500,485,711,706,161,158,439,650,439,237,2115
"METTL6",506,385,1093,944,152,1426,1476,552,746,297,364,734,1202,734,560,906
"EAF1",724,847,1713,1440,181,1929,2691,1015,1352,454,880,989,2466,989,1287,4535
"COLQ",19,41,60,62,0,55,103,72,80,18,33,82,92,82,21,102
"MIR4270",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"HACL1",348,435,1054,822,96,1169,1652,579,750,345,329,666,1072,666,421,1689
"BTD",490,464,1385,980,116,1626,1678,1098,1074,457,489,805,1285,805,660,1552
"ANKRD28",3630,3412,8251,5355,902,10673,12161,7996,9831,2504,3634,5968,8330,5968,5684,16409
"MIR3134",0,0,0,6,0,2,3,0,0,0,0,1,3,1,0,0
"MIR563",1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
"GALNT15",276,247,840,474,51,711,1532,1105,843,193,229,454,705,454,322,2731
"DPH3",1192,963,2345,1805,204,3128,3444,1143,1882,816,913,1167,2779,1167,1694,3233
"OXNAD1",199,150,429,332,42,503,475,284,380,121,191,282,455,282,242,1126
"RFTN1",1873,1830,5201,3565,305,5779,5759,3384,2478,1172,1473,3252,4910,3252,2087,10439
"LINC00690",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"DAZL",4,4,16,13,0,0,2,16,10,0,3,18,0,18,0,10
"PLCL2",528,512,1371,904,104,1298,1586,869,1154,340,524,888,1430,888,809,2647
"MIR3714",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TBC1D5",3299,2918,8742,4879,510,9184,8219,5865,3493,1991,2899,5053,6789,5053,3809,8464
"LOC105376975",0,2,3,1,0,0,0,1,2,0,2,0,2,0,0,0
"LOC339862",0,0,0,0,0,2,0,3,2,0,0,0,0,0,0,0
"SATB1",974,772,2469,1430,187,1811,2380,750,443,617,707,1363,2084,1363,1044,2631
"SATB1-AS1",4,3,3,1,0,3,0,0,2,3,3,7,10,7,0,12
"KCNH8",0,0,2,0,0,0,1,21,48,1,0,4,3,4,0,0
"MIR4791",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EFHB",43,39,100,103,3,72,150,58,91,27,36,63,157,63,37,146
"RAB5A",999,997,2775,2111,333,3410,4015,945,1519,686,823,1524,2705,1524,1833,2996
"PP2D1",3,10,17,19,5,24,40,17,19,0,18,23,13,23,33,11
"KAT2B",721,686,1795,962,116,1790,2035,521,461,425,568,1013,1378,1013,831,2082
"MIR3135A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SGO1",4,4,45,18,10,58,54,18,17,2,15,34,27,34,13,63
"SGO1-AS1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC101927829",0,0,1,0,0,0,3,0,0,2,0,7,1,7,0,0
"VENTXP7",0,0,0,2,0,0,0,3,3,0,0,0,4,0,3,0
"ZNF385D",41,48,71,71,17,117,165,30,23,50,50,59,136,59,97,244
"ZNF385D-AS1",1,0,2,1,0,0,6,1,1,3,4,0,7,0,2,0
"ZNF385D-AS2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBE2E2-AS1",0,2,4,3,0,0,0,0,0,0,0,0,2,0,2,0
"UBE2E2",706,643,1604,1264,148,2373,2734,970,924,462,442,920,1471,920,801,4559
"MIR548AC",0,0,0,4,0,3,1,0,0,2,2,1,2,1,4,15
"UBE2E1-AS1",7,2,7,5,0,7,6,1,0,4,0,4,4,4,0,25
"UBE2E1",2004,1739,4173,3668,668,5256,6872,2513,3366,1372,1469,2765,4719,2765,2880,2521
"NKIRAS1",375,296,967,749,45,866,1369,506,835,254,309,583,1081,583,401,1809
"RPL15",19466,16256,53936,42274,3601,81895,90545,18747,25134,13359,13161,27577,54005,27577,22358,45466
"NR1D2",2676,2842,7074,4710,606,5355,10001,3854,4913,1839,2337,4137,5632,4137,3406,16238
"LINC00691",6,0,1,0,0,0,4,27,13,0,0,6,5,6,0,0
"THRB",216,174,502,379,16,322,540,695,492,140,242,336,560,336,214,936
"LOC101927854",0,4,1,3,0,8,9,3,0,0,2,6,3,6,2,0
"THRB-AS1",9,0,6,6,2,0,3,4,1,2,7,13,11,13,1,6
"MIR4792",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RARB",18,20,68,22,1,32,46,37,24,24,26,32,51,32,45,20
"LOC105376997",0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
"TOP2B",2847,2588,8460,4729,734,9444,8419,4807,6490,1907,2491,6049,7286,6049,4812,13282
"MIR4442",19,22,132,97,19,99,97,4,1,11,16,115,115,115,28,136
"NGLY1",539,484,1352,933,105,1824,1956,961,1019,360,459,824,1354,824,677,2312
"OXSM",166,108,353,261,17,409,413,301,239,140,127,236,342,236,149,470
"LINC00692",0,0,0,2,0,0,0,3,2,0,0,0,0,0,0,0
"LRRC3B",0,0,0,1,0,0,0,12,42,0,0,0,2,0,0,0
"NEK10",80,53,157,108,9,153,203,106,134,63,83,124,188,124,85,279
"SLC4A7",1243,1168,3432,2204,381,4060,4780,1983,2502,933,1537,2428,4110,2428,2705,6774
"EOMES",0,0,0,0,0,0,0,10,12,0,0,0,2,0,0,0
"LINC01981",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"CMC1",156,143,274,242,48,272,427,79,169,135,108,202,323,202,195,1636
"AZI2",2065,1856,4841,3245,387,5513,6040,2449,3018,1455,1794,2887,4309,2887,2757,6782
"ZCWPW2",45,40,81,89,16,108,139,41,72,29,36,92,148,92,48,145
"LINC00693",0,2,3,2,0,0,0,2,1,2,0,2,2,2,2,12
"RBMS3-AS3",54,34,70,69,22,66,92,29,43,34,26,44,96,44,26,96
"RBMS3",2055,1756,5125,3032,435,5974,5768,3566,2777,1417,1827,3422,4879,3422,3255,5388
"RBMS3-AS1",0,9,8,3,7,8,11,2,0,1,2,8,5,8,10,0
"TGFBR2",5718,5147,15760,9378,815,14090,15584,11382,7266,4108,4702,9053,14083,9053,6251,25746
"GADL1",0,0,4,0,0,0,2,9,20,0,2,2,4,2,2,0
"MIR466",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STT3B",4724,4215,12442,7444,1091,16219,14522,4562,5376,3347,3854,8698,11282,8698,7298,25188
"OSBPL10",389,429,1045,808,116,1035,1411,1115,634,289,334,617,1172,617,631,3860
"OSBPL10-AS1",1,0,4,0,1,4,4,0,10,0,2,6,4,6,3,0
"ZNF860",19,12,46,12,0,86,62,19,53,10,24,22,47,22,25,66
"GPD1L",338,272,816,489,64,871,1127,489,595,246,250,452,736,452,385,1338
"CMTM8",0,0,2,7,0,8,4,4,7,0,2,2,7,2,0,44
"CMTM7",115,79,316,237,12,321,388,233,173,90,88,120,208,120,108,510
"CMTM6",3390,3104,7707,5222,801,9414,9748,3834,5245,2184,2662,4824,7288,4824,4490,18699
"MIR548AY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DYNC1LI1",961,1017,2916,2046,327,3926,4043,1385,2074,654,810,1682,2959,1682,1649,6961
"CNOT10",393,383,1000,766,73,1161,1575,878,806,361,357,707,1165,707,560,2946
"TRIM71",0,0,0,0,0,0,2,14,23,0,0,0,0,0,0,0
"CCR4",2,0,0,0,0,0,0,18,66,0,0,0,0,0,0,0
"GLB1",1912,1639,5653,3536,327,6016,7352,3702,2339,1307,1571,3307,4833,3307,2167,5946
"TMPPE",100,73,209,209,37,343,200,164,67,76,90,174,255,174,209,294
"CRTAP",8095,6325,20142,13318,1180,17880,23765,11505,7325,5127,6279,11157,18870,11157,6949,74893
"SUSD5",18,28,101,55,10,162,135,165,258,30,28,74,93,74,64,236
"FBXL2",647,469,1228,768,146,1900,1615,939,894,442,457,839,1195,839,643,1350
"UBP1",1298,1221,2804,2121,364,4925,3598,2089,1675,837,1103,1805,2808,1805,1814,6505
"CLASP2",1115,757,2508,1692,210,3256,3406,1462,1620,691,926,1630,2589,1630,1243,5333
"PDCD6IP",4814,4309,12444,8242,924,13979,15399,4983,2613,3172,4314,7572,12456,7572,6256,31256
"LOC101928135",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARPP21",0,0,0,4,0,0,0,22,43,0,0,0,2,0,0,0
"MIR128-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STAC",487,357,1001,823,90,1399,1601,1142,661,318,371,616,1102,616,639,2554
"DCLK3",0,0,0,0,0,0,0,22,34,0,0,0,2,0,0,0
"TRANK1",1342,884,3016,2111,212,2821,2484,2471,2071,665,1225,2579,2921,2579,1553,3192
"EPM2AIP1",1386,1174,3326,2109,322,3688,3672,1194,1212,985,1625,2371,3731,2371,2180,5276
"MLH1",1135,966,2593,1792,229,3570,3299,1895,2374,807,964,1633,2651,1633,1325,3350
"LRRFIP2",2328,2082,6635,4170,702,6498,7148,3473,4339,1518,1863,4051,6114,4051,3151,17885
"GOLGA4",3810,2774,10186,4933,705,7867,8941,5548,7543,2407,3316,5878,8374,5878,5044,15234
"C3orf35",14,5,29,18,2,12,55,45,57,9,22,31,20,31,44,134
"ITGA9",16,2,21,12,2,20,28,49,19,13,11,17,33,17,25,44
"ITGA9-AS1",18,16,57,37,15,76,75,58,75,19,18,62,80,62,24,278
"CTDSPL",1510,1345,4231,2663,264,6226,5238,4153,3217,1033,1323,2307,3755,2307,2483,4100
"MIR26A1",1,0,1,0,0,0,1,1,0,0,0,0,1,0,2,10
"VILL",325,261,764,439,27,676,630,730,701,194,260,537,607,537,194,1561
"PLCD1",387,299,950,675,63,1096,1250,2047,1669,244,307,618,951,618,336,4082
"DLEC1",13,14,21,29,6,18,39,47,48,9,31,44,57,44,5,103
"ACAA1",627,503,1315,984,171,1773,1580,1419,2983,462,462,741,1301,741,612,3884
"MYD88",56,79,219,187,135,624,327,109,75,36,64,145,335,145,402,808
"OXSR1",1341,1152,3538,2178,430,5244,4041,2121,2163,754,1208,2274,3627,2274,2699,6146
"SLC22A13",6,0,8,4,0,5,6,37,13,2,15,20,8,20,3,46
"SLC22A14",0,0,3,5,0,1,1,17,10,2,8,12,6,12,1,10
"XYLB",112,70,176,130,18,248,298,117,127,66,67,143,216,143,103,290
"ACVR2B-AS1",20,4,47,14,0,27,56,45,30,15,17,20,31,20,18,94
"ACVR2B",133,116,410,203,33,371,304,380,419,88,135,261,272,261,222,546
"EXOG",321,238,739,568,76,943,1173,595,813,217,331,516,888,516,435,862
"SCN5A",39,36,146,67,11,150,254,156,112,33,49,53,118,53,54,833
"SCN10A",0,0,0,0,0,0,0,20,17,0,0,0,0,0,0,0
"SCN11A",14,23,19,34,2,28,35,44,52,6,17,30,63,30,12,34
"WDR48",1570,1292,3850,2385,230,4138,4629,2836,2859,1129,1261,2433,3394,2433,1829,4061
"GORASP1",1220,1078,2656,2327,301,3746,3558,3143,1824,809,1042,1717,2965,1717,1404,4738
"TTC21A",33,60,84,91,7,59,198,134,74,26,101,119,202,119,106,216
"MIR6822",0,0,0,2,0,0,2,0,0,0,0,1,7,1,0,9
"CSRNP1",419,2729,934,6087,497,1566,14118,1317,8089,270,2449,782,10368,782,5279,38794
"XIRP1",0,0,4,8,0,0,22,40,41,2,1,6,6,6,1,68
"CX3CR1",0,2,0,4,0,2,12,12,22,4,2,0,6,0,0,20
"CCR8",0,0,0,0,0,2,0,9,7,0,0,0,0,0,0,0
"SLC25A38",628,527,1575,1225,127,1645,1922,1058,1112,349,425,801,1453,801,702,3384
"RPSA",2145,1508,35436,27613,467,85129,79304,3504,3917,1386,1395,16839,35040,16839,2735,55108
"SNORA6",217,109,143,189,139,89,159,5398,3880,39,88,101,140,101,139,83
"SNORA62",91,109,45,49,85,86,83,4136,6935,30,55,55,75,55,61,66
"MOBP",0,0,4,2,0,0,2,29,28,0,0,0,0,0,0,0
"MYRIP",34,15,120,72,16,191,193,74,63,32,32,68,109,68,34,393
"EIF1B-AS1",22,20,42,64,8,27,64,36,32,21,12,33,61,33,17,62
"EIF1B",559,478,1108,1149,181,1584,1930,736,920,378,474,682,1575,682,901,987
"ENTPD3",0,2,4,7,0,9,8,7,10,2,1,5,2,5,3,16
"ENTPD3-AS1",10,9,30,41,1,39,68,7,23,10,12,27,55,27,7,27
"RPL14",5506,4250,22023,19053,2368,30815,35863,4342,3704,3740,3494,11911,24818,11911,7078,32001
"ZNF619",136,90,422,184,38,403,267,319,154,128,134,290,320,290,192,851
"ZNF620",33,15,61,51,16,75,62,43,86,31,23,28,50,28,36,166
"ZNF621",1002,824,2512,1348,227,2874,2481,1331,681,756,932,1774,2428,1774,1453,3037
